element_id,file,element_line,element_column,element_tag,source_start_byte_offset,direct_handlers,opening_tag,evidence_note,rule_ids,raw_message_count,message_ids
E001,src/app/common/feedback-template-editor/feedback-template-editor.component.html,145,11,label,5239,,<label>,Feedback CSV is a group caption beside separate upload/download buttons; use text/group semantics and name the actions.,@angular-eslint/template/label-has-associated-control,1,M001
E002,src/app/common/learning-outcome-editor/learning-outcome-editor.component.html,99,7,label,3289,,<label>,"Outcomes CSV is a group caption, not a label associated with a single form input.",@angular-eslint/template/label-has-associated-control,1,M002
E003,src/app/common/learning-outcome-editor/learning-outcome-editor.component.html,108,5,label,3622,,<label>,"Feedback CSV is a group caption, not a label associated with a single form input.",@angular-eslint/template/label-has-associated-control,1,M003
E004,src/app/common/modals/date-change-modal/task-date-slider.component.html,3,5,label,73,,<label>,Task name is display text; preserve it as context when giving the actual slider thumb an accessible name.,@angular-eslint/template/label-has-associated-control,1,M004
E005,src/app/common/modals/date-change-modal/task-date-slider.component.html,7,7,label,201,,<label>,Task abbreviation is display text; associate useful task/date context with the slider thumb.,@angular-eslint/template/label-has-associated-control,1,M005
E006,src/app/common/modals/date-change-modal/task-date-slider.component.html,9,7,label,273,,<label>,Complete By describes the slider but is not programmatically associated with its input; name the actual thumb.,@angular-eslint/template/label-has-associated-control,1,M006
E007,src/app/common/modals/date-change-modal/task-date-slider.component.html,19,5,label,526,,"<label class=""grow-0"" style=""min-width: 4em"">","Formatted due date is a displayed value, not a label for a separate control.",@angular-eslint/template/label-has-associated-control,1,M007
E008,src/app/common/modals/date-change-modal/task-date-slider.component.html,73,9,label,1967,,"<label class=""bg-orange-100 p-1 text-sm"">",Warning prose uses label markup without a form control; preserve warning semantics as text/status content.,@angular-eslint/template/label-has-associated-control,1,M008
E009,src/app/common/modals/date-change-modal/task-date-slider.component.html,79,9,label,2307,,"<label class=""bg-yellow-100 p-1 text-sm"">",Caution prose uses label markup without a form control; preserve warning semantics as text/status content.,@angular-eslint/template/label-has-associated-control,1,M009
E010,src/app/dashboard/f-cross-dashboard.component.html,246,19,div,10188,click,"<div mat-menu-item (click)=""$event.stopPropagation(); toggleFilter(unit.projectId, mode)"" >",Clickable menu-item div contains a checkbox; use one native menuitemcheckbox control and preserve checked state without nesting controls.,@angular-eslint/template/click-events-have-key-events; @angular-eslint/template/interactive-supports-focus,2,M010; M011
