message_id,source_revision,file,line,column,end_line,end_column,rule_id,severity,message,element_id,element_line,element_column,element_tag,source_start_byte_offset,direct_handlers,opening_tag,evidence_note
M001,d16f6201caff78082e5e83c540320dbee5871404,src/app/common/feedback-template-editor/feedback-template-editor.component.html,145,11,145,38,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E001,145,11,label,5239,,<label>,Feedback CSV is a group caption beside separate upload/download buttons; use text/group semantics and name the actions.
M002,d16f6201caff78082e5e83c540320dbee5871404,src/app/common/learning-outcome-editor/learning-outcome-editor.component.html,99,7,99,34,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E002,99,7,label,3289,,<label>,"Outcomes CSV is a group caption, not a label associated with a single form input."
M003,d16f6201caff78082e5e83c540320dbee5871404,src/app/common/learning-outcome-editor/learning-outcome-editor.component.html,108,5,108,32,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E003,108,5,label,3622,,<label>,"Feedback CSV is a group caption, not a label associated with a single form input."
M004,d16f6201caff78082e5e83c540320dbee5871404,src/app/common/modals/date-change-modal/task-date-slider.component.html,3,5,3,46,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E004,3,5,label,73,,<label>,Task name is display text; preserve it as context when giving the actual slider thumb an accessible name.
M005,d16f6201caff78082e5e83c540320dbee5871404,src/app/common/modals/date-change-modal/task-date-slider.component.html,7,7,7,58,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E005,7,7,label,201,,<label>,Task abbreviation is display text; associate useful task/date context with the slider thumb.
M006,d16f6201caff78082e5e83c540320dbee5871404,src/app/common/modals/date-change-modal/task-date-slider.component.html,9,7,9,35,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E006,9,7,label,273,,<label>,Complete By describes the slider but is not programmatically associated with its input; name the actual thumb.
M007,d16f6201caff78082e5e83c540320dbee5871404,src/app/common/modals/date-change-modal/task-date-slider.component.html,19,5,19,89,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E007,19,5,label,526,,"<label class=""grow-0"" style=""min-width: 4em"">","Formatted due date is a displayed value, not a label for a separate control."
M008,d16f6201caff78082e5e83c540320dbee5871404,src/app/common/modals/date-change-modal/task-date-slider.component.html,73,9,77,17,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E008,73,9,label,1967,,"<label class=""bg-orange-100 p-1 text-sm"">",Warning prose uses label markup without a form control; preserve warning semantics as text/status content.
M009,d16f6201caff78082e5e83c540320dbee5871404,src/app/common/modals/date-change-modal/task-date-slider.component.html,79,9,83,17,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E009,79,9,label,2307,,"<label class=""bg-yellow-100 p-1 text-sm"">",Caution prose uses label markup without a form control; preserve warning semantics as text/status content.
M010,d16f6201caff78082e5e83c540320dbee5871404,src/app/dashboard/f-cross-dashboard.component.html,246,19,252,25,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E010,246,19,div,10188,click,"<div mat-menu-item (click)=""$event.stopPropagation(); toggleFilter(unit.projectId, mode)"" >",Clickable menu-item div contains a checkbox; use one native menuitemcheckbox control and preserve checked state without nesting controls.
M011,d16f6201caff78082e5e83c540320dbee5871404,src/app/dashboard/f-cross-dashboard.component.html,246,19,252,25,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E010,246,19,div,10188,click,"<div mat-menu-item (click)=""$event.stopPropagation(); toggleFilter(unit.projectId, mode)"" >",Clickable menu-item div contains a checkbox; use one native menuitemcheckbox control and preserve checked state without nesting controls.
M012,d16f6201caff78082e5e83c540320dbee5871404,src/app/projects/states/dashboard/directives/progress-dashboard/engagement-passport-card/engagement-detail-dialog/engagement-detail-dialog.component.html,114,15,131,21,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E011,114,15,div,4956,click,"<div class=""flex items-center"" [ngClass]=""comment.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToComment(comment.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.
M013,d16f6201caff78082e5e83c540320dbee5871404,src/app/projects/states/dashboard/directives/progress-dashboard/engagement-passport-card/engagement-detail-dialog/engagement-detail-dialog.component.html,114,15,131,21,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E011,114,15,div,4956,click,"<div class=""flex items-center"" [ngClass]=""comment.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToComment(comment.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.
M014,d16f6201caff78082e5e83c540320dbee5871404,src/app/projects/states/staff-notes/staff-notes.component.html,14,13,31,19,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E012,14,13,div,599,click,"<div class=""flex items-center"" [ngClass]=""note.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToNote(note.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.
M015,d16f6201caff78082e5e83c540320dbee5871404,src/app/projects/states/staff-notes/staff-notes.component.html,14,13,31,19,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E012,14,13,div,599,click,"<div class=""flex items-center"" [ngClass]=""note.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToNote(note.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.
M016,d16f6201caff78082e5e83c540320dbee5871404,src/app/projects/states/tutor-notes/tutor-notes.component.html,14,13,31,19,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E013,14,13,div,587,click,"<div class=""flex items-center"" [ngClass]=""note.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToNote(note.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.
M017,d16f6201caff78082e5e83c540320dbee5871404,src/app/projects/states/tutor-notes/tutor-notes.component.html,14,13,31,19,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E013,14,13,div,587,click,"<div class=""flex items-center"" [ngClass]=""note.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToNote(note.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.
M018,d16f6201caff78082e5e83c540320dbee5871404,src/app/tasks/task-comment-composer/attachment-confirmation-dialog/attachment-confirmation-dialog.component.html,1,1,62,7,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E014,1,1,div,0,keydown.enter,"<div (keydown.enter)=""$event.preventDefault(); $event.stopPropagation()"">",Outer div directly cancels and stops Enter from child controls. Remove or narrow interception; adding a tab stop to the dialog wrapper is not a sound fix.
M019,d16f6201caff78082e5e83c540320dbee5871404,src/app/tasks/task-comment-composer/task-comment-composer.component.html,160,7,176,14,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E015,160,7,div,5064,$userIsTyping | async; beforeinput; blur; focus; input; keydown; keydown.enter; paste,"<div #commentInput enterkeyhint=""send"" id=""textField"" name=""commentComposer"" placeholder=""Aa"" [attr.contenteditable]=""contentEditableValue() && !recording"" [class.active]=""($userIsTyping | async) === false"" [hidden]=""recording"" (beforeinput)=""handleBeforeInput($event)"" (blur)=""$userIsTyping.next(false)"" (focus)=""$userIsTyping.next(true)"" (input)=""onInputChange($event)"" (keydown)=""keyTyped()"" (keydown.enter)=""send($event)"" (paste)=""handlePaste($event)"" >",Editable div has a conditional contenteditable attribute and keyboard handlers. Give the editor textbox semantics/name and preserve recording/disabled focus behavior.
M020,d16f6201caff78082e5e83c540320dbee5871404,src/app/tasks/task-comments-viewer/pdf-image-comment/pdf-image-comment.component.html,1,1,10,5,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E016,1,1,a,0,click,"<a (click)=""openCommentsModal()"">",Anchor without href opens an attachment modal; use a named native button and preserve preview/error behavior.
