message_id,element_id,file,historical_start,historical_end,main_start,main_end
M001,E001,src/app/common/feedback-template-editor/feedback-template-editor.component.html,145:11,145:38,145:11,145:38
M002,E002,src/app/common/learning-outcome-editor/learning-outcome-editor.component.html,99:7,99:34,99:7,99:34
M003,E003,src/app/common/learning-outcome-editor/learning-outcome-editor.component.html,108:5,108:32,108:5,108:32
M004,E004,src/app/common/modals/date-change-modal/task-date-slider.component.html,3:5,3:46,3:5,3:46
M005,E005,src/app/common/modals/date-change-modal/task-date-slider.component.html,7:7,7:58,7:7,7:58
M006,E006,src/app/common/modals/date-change-modal/task-date-slider.component.html,9:7,9:35,9:7,9:35
M007,E007,src/app/common/modals/date-change-modal/task-date-slider.component.html,19:5,19:89,19:5,19:89
M008,E008,src/app/common/modals/date-change-modal/task-date-slider.component.html,73:9,77:17,73:9,77:17
M009,E009,src/app/common/modals/date-change-modal/task-date-slider.component.html,79:9,83:17,79:9,83:17
M010,E010,src/app/dashboard/f-cross-dashboard.component.html,246:19,252:25,246:19,252:25
M011,E010,src/app/dashboard/f-cross-dashboard.component.html,246:19,252:25,246:19,252:25
M012,E011,src/app/projects/states/dashboard/directives/progress-dashboard/engagement-passport-card/engagement-detail-dialog/engagement-detail-dialog.component.html,114:15,131:21,118:15,139:21
M013,E011,src/app/projects/states/dashboard/directives/progress-dashboard/engagement-passport-card/engagement-detail-dialog/engagement-detail-dialog.component.html,114:15,131:21,118:15,139:21
M014,E012,src/app/projects/states/staff-notes/staff-notes.component.html,14:13,31:19,14:13,31:19
M015,E012,src/app/projects/states/staff-notes/staff-notes.component.html,14:13,31:19,14:13,31:19
M016,E013,src/app/projects/states/tutor-notes/tutor-notes.component.html,14:13,31:19,14:13,31:19
M017,E013,src/app/projects/states/tutor-notes/tutor-notes.component.html,14:13,31:19,14:13,31:19
M018,E014,src/app/tasks/task-comment-composer/attachment-confirmation-dialog/attachment-confirmation-dialog.component.html,1:1,62:7,1:1,62:7
M019,E015,src/app/tasks/task-comment-composer/task-comment-composer.component.html,160:7,176:14,168:7,184:14
M020,E016,src/app/tasks/task-comments-viewer/pdf-image-comment/pdf-image-comment.component.html,1:1,10:5,1:1,10:5
M021,E016,src/app/tasks/task-comments-viewer/pdf-image-comment/pdf-image-comment.component.html,1:1,10:5,1:1,10:5
M022,E017,src/app/tasks/task-comments-viewer/task-comments-viewer.component.html,183:23,196:27,189:23,202:27
M023,E017,src/app/tasks/task-comments-viewer/task-comments-viewer.component.html,183:23,196:27,189:23,202:27
M024,E018,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,130:13,140:19,130:13,140:19
M025,E018,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,130:13,140:19,130:13,140:19
M026,E019,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,143:13,150:19,143:13,150:19
M027,E019,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,143:13,150:19,143:13,150:19
M028,E020,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,9:9,9:39,9:9,9:39
M029,E021,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,20:9,20:40,20:9,20:40
M030,E022,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,186:17,243:23,186:17,243:23
M031,E022,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,186:17,243:23,186:17,243:23
M032,E023,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,217:25,239:31,217:25,239:31
M033,E023,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,217:25,239:31,217:25,239:31
M034,E024,src/app/units/states/tasks/inbox/directives/staff-task-list/staff-task-list.component.html,292:15,414:21,258:15,380:21
M035,E024,src/app/units/states/tasks/inbox/directives/staff-task-list/staff-task-list.component.html,292:15,414:21,258:15,380:21
M036,E025,src/app/units/task-viewer/directives/unit-task-list/unit-task-list.component.html,152:11,213:17,152:11,220:17
M037,E025,src/app/units/task-viewer/directives/unit-task-list/unit-task-list.component.html,152:11,213:17,152:11,220:17
