source_revision,historical_source_revision,element_id,file_id,file,element_tag,line,column,source_start_byte_offset,historical_line,historical_column,historical_start_byte_offset,direct_handlers,opening_tag,evidence_note,rule_ids,raw_message_count,message_ids
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E001,F01,src/app/common/feedback-template-editor/feedback-template-editor.component.html,label,145,11,5239,145,11,5239,,<label>,Feedback CSV is a group caption beside separate upload/download buttons; use text/group semantics and name the actions.,@angular-eslint/template/label-has-associated-control,1,M001
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E002,F02,src/app/common/learning-outcome-editor/learning-outcome-editor.component.html,label,99,7,3289,99,7,3289,,<label>,"Outcomes CSV is a group caption, not a label associated with a single form input.",@angular-eslint/template/label-has-associated-control,1,M002
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E003,F02,src/app/common/learning-outcome-editor/learning-outcome-editor.component.html,label,108,5,3622,108,5,3622,,<label>,"Feedback CSV is a group caption, not a label associated with a single form input.",@angular-eslint/template/label-has-associated-control,1,M003
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E004,F03,src/app/common/modals/date-change-modal/task-date-slider.component.html,label,3,5,73,3,5,73,,<label>,Task name is display text; preserve it as context when giving the actual slider thumb an accessible name.,@angular-eslint/template/label-has-associated-control,1,M004
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E005,F03,src/app/common/modals/date-change-modal/task-date-slider.component.html,label,7,7,201,7,7,201,,<label>,Task abbreviation is display text; associate useful task/date context with the slider thumb.,@angular-eslint/template/label-has-associated-control,1,M005
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E006,F03,src/app/common/modals/date-change-modal/task-date-slider.component.html,label,9,7,273,9,7,273,,<label>,Complete By describes the slider but is not programmatically associated with its input; name the actual thumb.,@angular-eslint/template/label-has-associated-control,1,M006
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E007,F03,src/app/common/modals/date-change-modal/task-date-slider.component.html,label,19,5,526,19,5,526,,"<label class=""grow-0"" style=""min-width: 4em"">","Formatted due date is a displayed value, not a label for a separate control.",@angular-eslint/template/label-has-associated-control,1,M007
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E008,F03,src/app/common/modals/date-change-modal/task-date-slider.component.html,label,73,9,1967,73,9,1967,,"<label class=""bg-orange-100 p-1 text-sm"">",Warning prose uses label markup without a form control; preserve warning semantics as text/status content.,@angular-eslint/template/label-has-associated-control,1,M008
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E009,F03,src/app/common/modals/date-change-modal/task-date-slider.component.html,label,79,9,2307,79,9,2307,,"<label class=""bg-yellow-100 p-1 text-sm"">",Caution prose uses label markup without a form control; preserve warning semantics as text/status content.,@angular-eslint/template/label-has-associated-control,1,M009
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E010,F04,src/app/dashboard/f-cross-dashboard.component.html,div,246,19,10188,246,19,10188,click,"<div mat-menu-item (click)=""$event.stopPropagation(); toggleFilter(unit.projectId, mode)"" >",Clickable menu-item div contains a checkbox; use one native menuitemcheckbox control and preserve checked state without nesting controls.,@angular-eslint/template/click-events-have-key-events; @angular-eslint/template/interactive-supports-focus,2,M010; M011
