message_id,source_revision,file_id,file,line,column,end_line,end_column,rule_id,severity,message,element_id,element_tag,source_start_byte_offset,historical_line,historical_column,historical_end_line,historical_end_column,direct_handlers,opening_tag,evidence_note
M001,283b493367681d1abab23e5fe7c633ba3a57e5c2,F01,src/app/common/feedback-template-editor/feedback-template-editor.component.html,145,11,145,38,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E001,label,5239,145,11,145,38,,<label>,Feedback CSV is a group caption beside separate upload/download buttons; use text/group semantics and name the actions.
M002,283b493367681d1abab23e5fe7c633ba3a57e5c2,F02,src/app/common/learning-outcome-editor/learning-outcome-editor.component.html,99,7,99,34,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E002,label,3289,99,7,99,34,,<label>,"Outcomes CSV is a group caption, not a label associated with a single form input."
M003,283b493367681d1abab23e5fe7c633ba3a57e5c2,F02,src/app/common/learning-outcome-editor/learning-outcome-editor.component.html,108,5,108,32,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E003,label,3622,108,5,108,32,,<label>,"Feedback CSV is a group caption, not a label associated with a single form input."
M004,283b493367681d1abab23e5fe7c633ba3a57e5c2,F03,src/app/common/modals/date-change-modal/task-date-slider.component.html,3,5,3,46,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E004,label,73,3,5,3,46,,<label>,Task name is display text; preserve it as context when giving the actual slider thumb an accessible name.
M005,283b493367681d1abab23e5fe7c633ba3a57e5c2,F03,src/app/common/modals/date-change-modal/task-date-slider.component.html,7,7,7,58,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E005,label,201,7,7,7,58,,<label>,Task abbreviation is display text; associate useful task/date context with the slider thumb.
M006,283b493367681d1abab23e5fe7c633ba3a57e5c2,F03,src/app/common/modals/date-change-modal/task-date-slider.component.html,9,7,9,35,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E006,label,273,9,7,9,35,,<label>,Complete By describes the slider but is not programmatically associated with its input; name the actual thumb.
M007,283b493367681d1abab23e5fe7c633ba3a57e5c2,F03,src/app/common/modals/date-change-modal/task-date-slider.component.html,19,5,19,89,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E007,label,526,19,5,19,89,,"<label class=""grow-0"" style=""min-width: 4em"">","Formatted due date is a displayed value, not a label for a separate control."
M008,283b493367681d1abab23e5fe7c633ba3a57e5c2,F03,src/app/common/modals/date-change-modal/task-date-slider.component.html,73,9,77,17,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E008,label,1967,73,9,77,17,,"<label class=""bg-orange-100 p-1 text-sm"">",Warning prose uses label markup without a form control; preserve warning semantics as text/status content.
M009,283b493367681d1abab23e5fe7c633ba3a57e5c2,F03,src/app/common/modals/date-change-modal/task-date-slider.component.html,79,9,83,17,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E009,label,2307,79,9,83,17,,"<label class=""bg-yellow-100 p-1 text-sm"">",Caution prose uses label markup without a form control; preserve warning semantics as text/status content.
M010,283b493367681d1abab23e5fe7c633ba3a57e5c2,F04,src/app/dashboard/f-cross-dashboard.component.html,246,19,252,25,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E010,div,10188,246,19,252,25,click,"<div mat-menu-item (click)=""$event.stopPropagation(); toggleFilter(unit.projectId, mode)"" >",Clickable menu-item div contains a checkbox; use one native menuitemcheckbox control and preserve checked state without nesting controls.
